insee	osm	geonames	wikidata	wikipedia	databnf	viaf	siaf	inha
01111	146757	6424490	Q838732	https://fr.wikipedia.org/wiki/Conand	ark:/12148/cb152428550			
01112	142672	6618069	Q275216	https://fr.wikipedia.org/wiki/Condamine_(Ain)	ark:/12148/cb15242856b			
01113	140523	6424491	Q596467	https://fr.wikipedia.org/wiki/Condeissiat	ark:/12148/cb15242857p			
01114	140752	6424492	Q275320	https://fr.wikipedia.org/wiki/Confort_(Ain)	ark:/12148/cb152428581			
01115	139598	6424493	Q844206	https://fr.wikipedia.org/wiki/Confran%C3%A7on	ark:/12148/cb15242859c			
01116	146779	6424494	Q739814	https://fr.wikipedia.org/wiki/Contrevoz	ark:/12148/cb15242860k			
01117	146572	6424495	Q212580	https://fr.wikipedia.org/wiki/Conzieu	ark:/12148/cb15242861x			ark:/54721/fdace568-57e9-434a-9dd0-c453525be696
01118	75655	6424496	Q237432	https://fr.wikipedia.org/wiki/Corbonod	ark:/12148/cb152428628			
01119		6453499	Q275356	https://fr.wikipedia.org/wiki/Corcelles_(Ain)		239650784	18331695	
01120		3023686	Q2997130	https://fr.wikipedia.org/wiki/Cordieux				
01121	145586	3023659	Q237427	https://fr.wikipedia.org/wiki/Corlier	ark:/12148/cb152428659		18315816	
01122	147872	3023655	Q213412	https://fr.wikipedia.org/wiki/Cormaranche-en-Bugey	ark:/12148/cb15242866n	240538825	18314952	
01123	140024	6424499	Q838358	https://fr.wikipedia.org/wiki/Cormoranche-sur-Sa%C3%B4ne	ark:/12148/cb152428670			
01124	139112	6612200	Q669003	https://fr.wikipedia.org/wiki/Cormoz	ark:/12148/cb15242868b			
01125	139617	6424501	Q844230	https://fr.wikipedia.org/wiki/Corveissiat	ark:/12148/cb15242869p	249421037		
01126		3023174	Q57053714	https://fr.wikipedia.org/wiki/Coupy				
01127	139200	3023009	Q844261	https://fr.wikipedia.org/wiki/Courmangoux	ark:/12148/cb15242870w		18398782	
01128	139129	6618068	Q602112	https://fr.wikipedia.org/wiki/Courtes	ark:/12148/cb152428717			
01129	145685	6424503	Q858658	https://fr.wikipedia.org/wiki/Crans_(Ain)	ark:/12148/cb15242872k			
01130	139530				ark:/12148/cb15242873x			
01131		3022655	Q55071189	https://fr.wikipedia.org/wiki/Craz				
01132		3022575	Q2392200	https://fr.wikipedia.org/wiki/Cr%C3%A9pieux-la-Pape				
01133	146782	6424505	Q578383	https://fr.wikipedia.org/wiki/Cressin-Rochefort	ark:/12148/cb15242875m		18378851	
01134	139570	6424506	Q549825	https://fr.wikipedia.org/wiki/Crottet	ark:/12148/cb15242876z			
01135	139262	6615619	Q163699	https://fr.wikipedia.org/wiki/Crozet_(Ain)	ark:/12148/cb152428779			
01136	140026	6424507	Q844218	https://fr.wikipedia.org/wiki/Cruzilles-l%C3%A8s-M%C3%A9pillat	ark:/12148/cb15242878n			
01137		3022119	Q34797927	https://fr.wikipedia.org/wiki/Cuisiat				
01138	75650	3022093	Q243597	https://fr.wikipedia.org/wiki/Culoz	ark:/12148/cb152428806	142026588	18350709	ark:/54721/96488aba-ecfd-4160-a84a-7909ac689f56
01139	148926	6424509	Q839765	https://fr.wikipedia.org/wiki/Curciat-Dongalon	ark:/12148/cb15242881j			
01140	139596	6424510	Q838686	https://fr.wikipedia.org/wiki/Curtafond	ark:/12148/cb15242882w			
01141	146776	6615620	Q853486	https://fr.wikipedia.org/wiki/Cuzieu_(Ain)	ark:/12148/cb152428837			
01142	146688	3021927	Q241543	https://fr.wikipedia.org/wiki/Dagneux	ark:/12148/cb15242884k		18304458	
01143	139006	6424512	Q241575	https://fr.wikipedia.org/wiki/Divonne-les-Bains	ark:/12148/cb15242885x	134507635		
01144		6615217	Q580443	https://fr.wikipedia.org/wiki/Dommartin_(Ain)			18317022	
01145	148362	6424514	Q838721	https://fr.wikipedia.org/wiki/Dompierre-sur-Veyle	ark:/12148/cb15242887m			
01146	142237	6424515	Q774184	https://fr.wikipedia.org/wiki/Dompierre-sur-Chalaronne	ark:/12148/cb15242888z			
01147	138995	6424516	Q838674	https://fr.wikipedia.org/wiki/Domsure	ark:/12148/cb152428899			
01148	21591	3021013	Q271081	https://fr.wikipedia.org/wiki/Dortan	ark:/12148/cb15242890h	155115499	18317646	
01149	145679	6424518	Q838350	https://fr.wikipedia.org/wiki/Douvres_(Ain)	ark:/12148/cb15242891v			
01150	140252	6424519	Q842859	https://fr.wikipedia.org/wiki/Drom_(Ain)	ark:/12148/cb152428926	158715090		
01151	145499	6424520	Q844243	https://fr.wikipedia.org/wiki/Druillat	ark:/12148/cb15242893j			
01152	30233	6619620	Q273323	https://fr.wikipedia.org/wiki/%C3%89challon	ark:/12148/cb15242894w	146920315	18332605	ark:/54721/57fe2e16-f0d2-4b0c-b760-969ef6290576
01153	139202	6424521	Q177568	https://fr.wikipedia.org/wiki/%C3%89chenevex	ark:/12148/cb152428957			
01154	139176	6424522	Q838688	https://fr.wikipedia.org/wiki/%C3%89trez	ark:/12148/cb15242896k		18377150	
01155	145688	6424523	Q237474	https://fr.wikipedia.org/wiki/%C3%89vosges	ark:/12148/cb15242897x			
01156	147336	6618067	Q652898	https://fr.wikipedia.org/wiki/Faramans_(Ain)	ark:/12148/cb152428988			
01157	149049	6424524	Q652837	https://fr.wikipedia.org/wiki/Fareins	ark:/12148/cb15242899m	241228200		ark:/54721/89d676c9-cd37-451d-bfd6-7545cd5afacf
01158	140760	6453500	Q457007	https://fr.wikipedia.org/wiki/Farges_(Ain)	ark:/12148/cb152429000			
01159	139173	6424525	Q839756	https://fr.wikipedia.org/wiki/Feillens	ark:/12148/cb15242901b	241200212		
01160	140088	3018679	Q233733	https://fr.wikipedia.org/wiki/Ferney-Voltaire	ark:/12148/cb15242902p	132419218	18359082	ark:/54721/929386e2-eba7-4cd6-9940-747cc667cebd
01161		3018451	Q25939522	https://fr.wikipedia.org/wiki/Fitignieu				
01162	146672	6424527	Q864719	https://fr.wikipedia.org/wiki/Flaxieu	ark:/12148/cb15242904c			
01163	138993	6424528	Q842855	https://fr.wikipedia.org/wiki/Foissiat	ark:/12148/cb15242905q			
01164		3017775	Q58023914	https://fr.wikipedia.org/wiki/Forens				
01165	145101	6424529	Q244536	https://fr.wikipedia.org/wiki/Francheleins	ark:/12148/cb152429062			
01166	145674	3017320	Q841585	https://fr.wikipedia.org/wiki/Frans	ark:/12148/cb15242907d		18327981	
01167	140130	6424531	Q734173	https://fr.wikipedia.org/wiki/Garnerans	ark:/12148/cb15242908r			
01168								
01169	142160	6424532	Q842745	https://fr.wikipedia.org/wiki/Genouilleux	ark:/12148/cb152429093			
01170	140328	6424533	Q275382	https://fr.wikipedia.org/wiki/B%C3%A9ard-G%C3%A9ovreissiat	ark:/12148/cb152429109	137406435		
01171	36208	6424534	Q275362	https://fr.wikipedia.org/wiki/G%C3%A9ovreisset	ark:/12148/cb15242911n			
01172		6612202	Q840533	https://fr.wikipedia.org/wiki/Germagnat			18387272	
01173	139156	6424536	Q202451	https://fr.wikipedia.org/wiki/Gex	ark:/12148/cb15242913b	236455706		
01174	140031	3015957	Q243028	https://fr.wikipedia.org/wiki/Giron_(Ain)	ark:/12148/cb15242914p		18341079	
01175	138961	6424538	Q764928	https://fr.wikipedia.org/wiki/Gorrevod	ark:/12148/cb152429151			
01176		6455421	Q244704	https://fr.wikipedia.org/wiki/Le_Grand-Abergement		248728474		
01177	140085	6424539	Q659440	https://fr.wikipedia.org/wiki/Grand-Corent	ark:/12148/cb15242917q			
01178		3014893	Q49352197	https://fr.wikipedia.org/wiki/Granges_(Ain)				
01179	139571	6424540	Q742113	https://fr.wikipedia.org/wiki/Gri%C3%A8ges	ark:/12148/cb15242919d			ark:/54721/fd2e78c9-40d8-4156-b271-6c94e262e61c
01180	139535	3014638	Q339095	https://fr.wikipedia.org/wiki/Grilly	ark:/12148/cb15242920m		18338198	
01181	26640	6424542	Q275208	https://fr.wikipedia.org/wiki/Groissiat	ark:/12148/cb15242921z			
01182		6424543	Q840075	https://fr.wikipedia.org/wiki/Grosl%C3%A9e				
01183	142221	6424544	Q839762	https://fr.wikipedia.org/wiki/Gu%C3%A9reins	ark:/12148/cb15242923n			
01184	140516				ark:/12148/cb152429240			ark:/54721/c4218dad-a588-4029-9edd-d608ed04cea1
01185	145705				ark:/12148/cb15242925b			
01186	147339	6424546	Q317962	https://fr.wikipedia.org/wiki/Hostiaz	ark:/12148/cb15242926p		18320424	
01187	5756892				ark:/12148/cb152429271			
01188	140330	6424548	Q676621	https://fr.wikipedia.org/wiki/Illiat	ark:/12148/cb15242928c			ark:/54721/78f72e97-1857-405a-804e-e6ee4c0186c6
01189	145495				ark:/12148/cb15242929q			
01190	146626	3012772	Q678071	https://fr.wikipedia.org/wiki/Innimond	ark:/12148/cb15242930x		18343159	
01191	145572	6424550	Q339133	https://fr.wikipedia.org/wiki/Izenave	ark:/12148/cb152429318			
01192	140030	3012604	Q242639	https://fr.wikipedia.org/wiki/Izernore	ark:/12148/cb15242932m	313429396	18326544	
